,Open time,Open,High,Low,Close,Volume,Close time,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume,Ignore
0,1696810500000,23.16,23.17,23.08,23.15,38857.33,1696811399999,898682.8732,1495,17430.24,403237.4345,0
1,1696811400000,23.14,23.26,23.14,23.22,15455.05,1696812299999,358808.2913,853,8441.25,195919.1084,0
2,1696812300000,23.21,23.25,23.12,23.16,11625.24,1696813199999,269452.2344,747,4778.9,110717.9678,0
3,1696813200000,23.16,23.16,23.09,23.15,15963.63,1696814099999,369119.3036,737,9949.71,230075.2075,0
4,1696814100000,23.16,23.19,23.11,23.11,14015.57,1696814999999,324356.421,519,5729.36,132580.8133,0
5,1696815000000,23.11,23.17,23.11,23.15,14407.31,1696815899999,333243.6909,519,4482.5,103692.7198,0
6,1696815900000,23.15,23.31,23.14,23.27,45276.06,1696816799999,1053247.5206,1481,22226.21,516972.9481,0
7,1696816800000,23.26,23.31,23.22,23.28,14663.39,1696817699999,341176.4395,616,7241.65,168516.2662,0
8,1696817700000,23.29,23.31,23.25,23.27,12465.04,1696818599999,290214.2267,466,5072.82,118107.1813,0
9,1696818600000,23.26,23.31,23.25,23.27,8113.46,1696819499999,188907.1355,392,4428.2,103109.7702,0
10,1696819500000,23.28,23.29,23.22,23.25,6901.99,1696820399999,160526.6831,392,3010.32,70018.0005,0
11,1696820400000,23.24,23.28,23.23,23.26,7425.09,1696821299999,172623.7447,382,3425.65,79652.1376,0
12,1696821300000,23.25,23.26,23.2,23.22,8139.37,1696822199999,188989.6759,405,4192.65,97333.5915,0
13,1696822200000,23.22,23.3,23.2,23.27,33878.73,1696823099999,788029.7503,902,24435.72,568340.7679,0
14,1696823100000,23.27,23.29,23.24,23.25,7447.91,1696823999999,173281.3255,378,3430.66,79816.052,0
15,1696824000000,23.25,23.29,23.23,23.27,5059.53,1696824899999,117675.4559,297,2248.84,52297.2841,0
16,1696824900000,23.27,23.3,23.23,23.3,13671.89,1696825799999,318052.2826,445,3055.82,71125.8838,0
17,1696825800000,23.3,23.37,23.27,23.32,12966.64,1696826699999,302497.4907,723,8372.95,195330.6422,0
18,1696826700000,23.32,23.34,23.3,23.31,9411.88,1696827599999,219402.3348,346,4726.08,110184.0725,0
19,1696827600000,23.31,23.36,23.3,23.34,7093.9,1696828499999,165549.7345,357,4385.57,102338.2847,0
20,1696828500000,23.35,23.35,23.27,23.27,12980.86,1696829399999,302427.1195,417,3002.37,69934.8285,0
21,1696829400000,23.28,23.28,23.24,23.27,6534.01,1696830299999,151998.3039,411,3451.32,80299.2794,0
22,1696830300000,23.27,23.29,23.22,23.22,3254.22,1696831199999,75652.922,261,1598.45,37164.3295,0
23,1696831200000,23.22,23.25,23.19,23.22,19607.47,1696832099999,455200.6528,538,9506.9,220744.2662,0
24,1696832100000,23.22,23.23,23.17,23.2,7570.79,1696832999999,175703.9947,440,4681.27,108656.4733,0
25,1696833000000,23.2,23.25,23.18,23.21,18991.77,1696833899999,440957.261,455,9260.87,214994.8187,0
26,1696833900000,23.21,23.24,23.2,23.21,8355.35,1696834799999,194002.9584,308,3750.28,87084.5419,0
27,1696834800000,23.22,23.22,23.12,23.14,12194.19,1696835699999,282487.1215,687,3093.22,71669.0876,0
28,1696835700000,23.13,23.13,22.87,22.93,155723.01,1696836599999,3580748.077,5629,60721.09,1395232.844,0
29,1696836600000,22.93,22.99,22.85,22.98,40315.37,1696837499999,924228.8739,1572,20490.3,469832.6359,0
30,1696837500000,22.98,23.01,22.96,22.99,18599.41,1696838399999,427560.4585,799,11057.16,254180.0539,0
